"production_companies","production_countries"
"Bundesstaatliche Hauptstelle für Lichtbild und Bildungsfilm","Germany"
"Dix-Film","Germany"
"Weid-Film","Germany"
"Max Core Room Project","Japan"
"Manfred und Karl Deschauer","Germany"
"JRH Films","United States of America"
"Paravel Films","United Kingdom"
"New Harvest Productions","United States of America"
"Departures Film","Germany"
"Undocumented Films","United States of America"
"Bonin Film","Germany"
"August Heart Entertainment","United States of America"
"British Broadcasting Corporation (BBC) Television","none"
"Madisonian Films","United States of America"
"Head Gear Films","South Africa"
"Versatile Studio","India"
"MNC Pictures","Indonesia"
"Roundtable","Taiwan"
"Wuttke & Wuttke Filmproduktion","Germany"
"G6 Pictures","United States of America"
"Fred & Sandra Weintraub Productions","Hong Kong"
"Attack Zone","Japan"
"Atalante Produções Cinematográficas","Brazil"
"Red Digital Cinema","New Zealand"
"New Talent Productions","United States of America"
"Climax Films","Belgium"
"Red Line Filmes","Ireland"
"State of Panic","Australia"
"Strongman Pictures","Australia"
"Uwaga Film","none"
"Northern Pictures","United Kingdom"
"Red Shirt Pictures","United States of America"
"MGI Productions","United States of America"
"Gorilla Ocho","United States of America"
"Minerva International","Sweden"
"Race Point Films","United States of America"
"Pecadillo Pictures","United States of America"
"ANG Film","Italy"
"ed.moviedirectors","Italy"
"Shree Shankar Movies","India"
"Shadows and Lovers Productions","United States of America"
"Little Big Films","India"
"Studio 100 Animation","Belgium"
"Kaval Film","Germany"
"A Film Company","Switzerland"
"Gama","Yugoslavia"
"DDF","Germany"
"Amagifilms","Spain"
"Status Media & Entertainment","United States of America"
"Hermes Film","Denmark"
"Almanack Film Productions","United Kingdom"
"Paris Film","none"
"Fahrenheit Films","United States of America"
"Pica Pica Media Limited","Hong Kong"
"Loveless","United States of America"
"WTFN Entertainment","Australia"
"By Experience, Inc.","United States of America"
"Afrikaans Film","South Africa"
"Filmschaft Maas und Füllmich","Germany"
"СКИФ","Russia"
"Making Movies","New Zealand"
"Студия """"Парус""""","Russia"
"Les Films de la Boétie","none"
"Mirage Film","Norway"
"Instituto Nacional de Cine y Artes Audiovisuales (INCAA)","Netherlands"
"Euro-Television","none"
"Carla Films","none"
"Productora Almaina Producciones","Spain"
"Reclusive Cinema","United States of America"
"Lastor Media","Spain"
"Téléfrance","none"
"Guinness","United Kingdom"
"leomedias","France"
"Kavyachandrika Release","India"
"Houston Cinema Group","none"
"Les Films de la Pléiade","none"
"Public Media Works","United States of America"
"CTR","Brazil"
"Black Meadow Productions","none"
"Gloria Films","India"
"Canter","Japan"
"CMC Producciones","Argentina"
"Televisión Española (TVE)","Paraguay"
"G4 Films Productions","United States of America"
"Academy Films","United Kingdom"
"Mirartes Audiovisual","Brazil"
"RM Films","United States of America"
"Discovery Channel","New Zealand"
"A ConsciousMate Films Production","United States of America"
"Olho Fotografia e Cinematografia","Brazil"
"Producciones Aguirre Valdez","Mexico"
"National Film Studio of North Korea","North Korea"
"CC Cine Vision","India"
"Lallu Films","India"
"ABC Video Enterprises","United States of America"
"Artillery Pictures","United States of America"
"Research Film","Denmark"
"Television Broadcasts Limited (TVB)","Hong Kong"
"Kaboom Film and TV","United Kingdom"
"AnC Movies","United States of America"
"3 Films Production","Turkey"
"Polygon Pictures","Japan"
"Lunanime","Belgium"
"Red Knuckles","Brazil"
"Kinokomitet Narkomprosa","Russia"
"Shamli International","India"
"Laktorce Productions","Puerto Rico"
"Chris Thompson Productions","United States of America"
"Demeusy Pictures","United States of America"
"42nd Pictures","Malaysia"
"South Coast Productions","New Zealand"
"Big Ben Productions","Venezuela"
"7 Films Cinéma","Argentina"
"Movie Da Productions","France"
"Alpha Film","Brazil"
"Ysé Productions","France"
"Oceanfilm","Czech Republic"
"Shenzhen City Cultural Development Co., Ltd.","China"
"Foxbridge Limited","United Kingdom"
"Inigo Films","United Kingdom"
"GPO Film Unit","none"
"Folk Films","United Kingdom"
"Inbex Random","United Kingdom"
"Fuse FX","United States of America"
"Vita Aktiva","Serbia"
"Megafilm","Hungary"
"First Movie Companie","United States of America"
"fly flims","Italy"
"Matsuda Eigasha","Japan"
"Ludorum","United Kingdom"
"Frame Order","Netherlands"
"Cine Chromatix KG","Germany"
"Zelko Films","Algeria"
"Actualités Gaumont","Belgium"
"Indra","Italy"
"Actium Pictures","United States of America"
"Condor Films","United Kingdom"
"Artco-Film","Switzerland"
"Ministry of Sound","United Kingdom"
"Emu Films","none"
"October Harvest Productions","United States of America"
"Al Lane Pictures","United States of America"
"Game Show Network (GSN)","United States of America"
"Radiotelevizija Novi Sad","Serbia and Montenegro"
"Luxor Media","United States of America"
"Epifania Filmes","Brazil"
"7G Cinemas","India"
"Sterling Films","United States of America"
"Formidable","United Kingdom"
"Compagnie des Phares et Balises","France"
"VEB DEFA Studio für Wochenschau und Dokumentarfilme","East Germany"
"Majestic Films","none"
"Horse Archer Productions","United States of America"
"MTV","United Kingdom"
"RC Release Company (Alive)","Austria"
"Panda Films","none"
"Parafrance Films","none"
"Diwphalanx","Japan"
"Trilion Pictures Ltd.","United Kingdom"
"Little Bear","none"
"Fraternal Film Productions","none"
"Pan Film","Serbia"
"acl Productions","United States of America"
"Ryan W Films","United States of America"
"Asger Jerrild Film","Denmark"
"Minimal Animal","Thailand"
"Ajileye Films  Production","Nigeria"
"NJTV-HD","United States of America"
"Hamsadwani Films","India"
"New Zealand Film Production Fund","New Zealand"
"Hash Bush Films","India"
"Studio Hamburg","none"
"Rembrandt Films","Czech Republic"
"Mono Pictures","Thailand"
"Septor Film","Denmark"
"The NOMADS","Canada"
"Siamese Rose","Lao People's Democratic Republic"
"Versa Studios Media","United States of America"
"RECK Filmproduktion Zürich","Russia"
"Institute for Sex Education and Research","United Kingdom"
"MoonHill Productions","United States of America"
"Universal Music","United Kingdom"
"Chithirasri","India"
"Crystal Visions","India"
"Tsunku Town Films","Japan"
"Trans Pecos Productions","United States of America"
"Lestepe Produções Cinematográficas","Brazil"
"Balapolis","Poland"
"Tôt Ou Tard","France"
"Screentime New Zealand","New Zealand"
"HCM Teleproductions","United States of America"
"AVE","Germany"
"Tade Ogidan Film","Nigeria"
"Zoned in Productions","United States of America"
"Coronet Pictures","none"
"Buena Vista Home Entertainment","none"
"Bunker Features","Poland"
"Ray Kirkwood Productions,","none"
"Hispano Continental Films","Mexico"
"Windmill Film","Netherlands"
"Lekshmi Devi Combines","India"
"Producciones del Rey","Mexico"
"Boom Pictures Inc.","Ireland"
"Slasher Studios","United States of America"
"Nihon Falcom","Japan"
"Sterling Rock Productions","United States of America"
"Aurora Productions AG","Japan"
"SBS","Australia"
"Macau Light Company","Australia"
"Les Films d'Octobre","France"
"Francinor","Spain"
"The Southwest Alternative Media Project","United States of America"
"Akshaya Productions","India"
"Swetha Films","India"
"Filmstudio Demarsh","Russia"
"Ajantha Production Release","India"
"Sree Bhuvaneswari Movie Arts","India"
"aubrey hamner productions","United States of America"
"Pretty Pictures","France"
"Gaming Paradise Tournament","none"
"Beijing Century Media Culture","China"
"ONE TWO Films","Germany"
"Nordic Factory Film","Sweden"
"Adelaide Film Festival","Australia"
"Media Management","Denmark"
"Green Productions","Israel"
"Вольга","Russia"
"Topia Communications","Israel"
"Institut del Cinema Català (ICC)","France"
"A Major Films","France"
"Lost Boy Pictures","United Kingdom"
"Litzur Films","Israel"
"Brett Kelly Entertainment","none"
"Stage 5","South Africa"
"Roever Communications","United States of America"
"Les Films Osso","none"
"Zuidenwind Filmprodukties","Netherlands"
"Concept Media LLC","United States of America"
"Eric Widing Films","United States of America"
"concept media","none"
"SieteMove","Switzerland"
"Inter American Films","United States of America"
"Thats Productions","none"
"C.T.I.","none"
"Earthology Records","United States of America"
"Chassy Media","United States of America"
"Urban Entertainment","Ghana"
"Artikulo Uno Productions","Philippines"
"New Moon Pictures","United States of America"
"Magnolia Pictures","Ireland"
"Ken Kragen Productions","none"
"84 West Pictures","United States of America"
"Konami Corporation Ltd.","Japan"
"Güzel İşler","Turkey"
"Contact Films","Vanuatu"
"Cineopera","none"
"Lutz Dammbeck","Germany"
"Fancy Pants Films","United States of America"
"Les Films Ariane","none"
"Dacar Produções Cinematográficas","Brazil"
"Digiview Productions","none"
"Cocinor","none"
"Benetone Films","none"
"Cineriz","none"
"Wise Guy Productions","Sweden"
"WTFilms","Canada"
"Cognetti Films","United States of America"
"Beijing Max Times Cultural Development","China"
"Sinister Siblings Films","United States of America"
"Impala","Argentina"
"Nu Art Movies","Philippines"
"Ivy Films","United Kingdom"
"Comic House","Netherlands"
"il Luster Films","Netherlands"
"Kanaban Graphics","Japan"
"General Film Corporation","Germany"
"Filmové Studio Koliba A.S.","Slovakia"
"Mjölk Movies","Finland"
"Alexandre Larose","Canada"
"Tura-Film","Germany"
"Tycor International Film Company","United States of America"
"Driving With Our Eyes Shut","United States of America"
"Humankind Production","France"
"Sterling Noren","none"
"NOVA Productions","Croatia"
"Grindstone Entertainment Group","Canada"
"Téléfiction Distribution","Canada"
"Profilm","Bulgaria"
"Meriland Movies","India"
"Ambady Pictures","India"
"Nedumbakkaran Creations","India"
"Ganga Movie Makers","India"
"Bananeira Filmes","Argentina"
"Sava Productions","none"
"Navayuga Arts","India"
"Enjoy Films","India"
"Akai Films","India"
"Jubilant Release","India"
"Cityson Films","India"
"Highness Arts","India"
"Maruthi Pictures","India"
"Jubilee Films","India"
"Prabha Cine Arts","India"
"Editions Guérin","France"
"Flamingo","Japan"
"Santhosh Films","India"
"Rajsagar Films","India"
"Pimanov & Partners","Russia"
"Vrindavan Pictures","India"
"MKH Productions","Indonesia"
"Yamaha","United States of America"
"Neo Publishing AB","Sweden"
"Brainworks","France"
"EZ Films","France"
"Shine Productions","India"
"Seven Arts Release","India"
"Rajaputhra Films","India"
"THQ","none"
"Maruthi Pictures Release","India"
"Infravermelho Filmes","Brazil"
"TVE RJ","Brazil"
"Filmes do Serro","Brazil"
"Filmu Studija Rija","Latvia"
"Rits School of Arts","Belgium"
"Luna.W","Mexico"
"arte Cinéma","Georgia"
"Spotted Productions","Japan"
"PPV Networks","United States of America"
"Olcay Prodüksiyon","Turkey"
"MK2 Production","Argentina"
"Avent Premiere","Croatia"
"Intamedia","United Kingdom"
"Ultra Film","none"
"Columbia Films","none"
"Action Films","none"
"RF Video","United States of America"
"Fono Roma","none"
"Le Monde en Images","none"
"Studio in honour of St John the Warrior","Belarus"
"PECF","none"
"SONBAY SANAT VE PRODUKSIYON","Turkey"
"Yoga, Tribe and Culture","United States of America"
"Staatliche Filmdokumentation","Germany"
"Lionel Charlet Films","Switzerland"
"Orgon Films","Argentina"
"Cinépata","Argentina"
"FIlms du Toucan Production","France"
"Mare Nostrum Productions","France"
"Exhibit A Pictures","United States of America"
"Bucks Green Films","United Kingdom"
"Moriana Films S.L.","Spain"
"Producciones Bajo la Lluvia","Spain"
"Alessi Films","United States of America"
"IMAGEN FILMES","Brazil"
"Filmkonsortiet Zanzibar","Denmark"
"Brand Inc. Entertainment","United States of America"
"Rather Good Films","United Kingdom"
"Hong Kong Wei Kuen Film Company","Taiwan"
"Perles Films","United States of America"
"Kaupo Filma","Latvia"
"J042 Productions","United States of America"
"Amsterdam Zoetrope","Netherlands"
"Certain Scenes Productions","New Zealand"
"Dark Horse Films","New Zealand"
"Exogain","Philippines"
"Pro Wrestling Guerrilla","Germany"
"Infinite Lives Entertainment","Canada"
"Pro Wrestling Guerrilla","United Kingdom"
"Spellbound Films","United States of America"
"Jubiliant Productions","India"
"Sooryakanthi Productions","India"
"Three Great Lights Films","Mexico"
"Werner Herzog Filmproduktion","Canada"
"Saville Productions","United States of America"
"IFC TV","United States of America"
"Chitrangana Films","India"
"G.P. Huntley","United Kingdom"
"Sargachitra","India"
"Best Fancy Magic Show Ever","New Zealand"
"Unkreative Artists","New Zealand"
"Akshaya Arts International","India"
"Several Studio","Spain"
"Southern Light Pictures","New Zealand"
"Logos Film","Switzerland"
"Cactus Films","Switzerland"
"Sony Mony Electronics","India"
"Schweizerische Radio- und Fernsehgesellschaft (SRG)","Switzerland"
"Striking the Water Productions","United States of America"
"Thana Entertainment","Thailand"
"Seventh Way Media","United States of America"
"Party for Two Films","Canada"
"Pacific Island Film","none"
"Skinny Bones Productions","United States of America"
"Geiensha Company","Japan"
"Hong Kong-China Chang He Film Co.","China"
"Lo Nuestro en Video SA","Mexico"
"Hualien Media International","Taiwan"
"Ant Fire Productions","Chile"
"Umedia","France"
"Viennale","Taiwan"
"Newgrange Pictures","Norway"
